order_item_id,order_id,product_id,quantity,unit_price
111,34,80,7,697.06
112,35,32,7,576.08
113,36,52,6,725.22
114,36,68,4,873.66
115,36,11,6,865.39
116,36,51,3,462.36
117,36,40,2,667.05
118,37,82,6,55.53
119,37,15,6,934.91
120,37,68,3,873.66
121,37,66,4,721.53
122,37,25,2,351.67
123,38,33,3,241.23
124,38,26,10,556.4
125,39,98,2,261.44
126,39,84,3,300.43
127,40,60,10,653.34
128,40,97,8,466.54
129,40,73,10,997.45
130,40,98,10,261.44
131,41,81,8,904.39
132,41,41,2,822.54
133,41,20,8,591.07
134,42,81,1,904.39
135,42,39,6,392.22
136,42,36,9,747.26
137,42,76,2,107.46
138,43,60,1,653.34
139,43,58,6,345.18
140,43,5,5,251.29
141,44,83,2,798.18
142,45,77,9,637.41
143,45,65,1,323.49
144,45,50,8,530.69
145,45,60,10,653.34
146,45,75,4,439.63
147,46,78,3,873.85
148,46,61,1,853.25
149,46,65,8,323.49
150,47,44,2,46.65
151,48,83,8,798.18
152,48,23,8,157.11
153,48,6,9,555.75
154,48,32,9,576.08
155,48,91,10,88.18
156,49,47,5,871.0
157,49,48,7,875.45
158,50,100,1,19.3
159,50,44,6,46.65
160,50,87,2,535.85
161,50,77,6,637.41
162,51,72,7,921.72
163,52,33,10,241.23
164,52,93,3,623.51
165,52,85,6,381.09
166,53,75,3,439.63
167,54,40,7,667.05
168,54,84,3,300.43
169,54,90,10,178.28
170,55,40,9,667.05
171,56,83,9,798.18
172,56,43,2,500.38
173,56,17,7,822.34
174,56,86,9,154.11
175,57,3,3,836.38
176,57,47,4,871.0
177,57,40,6,667.05
178,58,25,2,351.67
179,58,29,5,328.56
180,58,18,2,290.01
181,58,20,9,591.07
182,59,95,10,913.7
183,59,68,3,873.66
184,59,5,10,251.29
185,59,85,7,381.09
186,59,44,3,46.65
187,60,24,10,543.19
188,60,89,3,794.59
189,61,6,4,555.75
190,61,53,8,415.88
191,61,47,10,871.0
192,61,87,5,535.85
193,62,30,8,196.77
194,62,69,4,45.54
195,62,31,6,700.52
196,62,40,10,667.05
197,63,60,7,653.34
198,63,99,9,262.77
199,63,37,9,708.18
200,63,100,7,19.3
201,64,26,3,556.4
202,64,78,5,873.85
203,65,83,8,798.18
204,66,71,9,634.85
205,66,14,2,420.79
206,66,92,5,872.13
207,67,98,3,261.44
208,68,58,7,345.18
209,68,66,2,721.53
210,68,19,4,305.57
211,69,45,7,507.27
212,69,4,9,980.44
213,69,54,6,658.23
214,69,7,4,389.75
215,70,11,6,865.39
216,70,48,2,875.45
217,70,29,6,328.56
218,70,4,3,980.44
219,71,5,8,251.29
220,71,37,3,708.18
221,72,58,1,345.18
222,72,79,5,449.24
223,72,1,4,513.78
224,72,11,3,865.39
225,73,94,5,248.42
226,73,78,4,873.85
227,73,68,5,873.66
228,73,55,2,162.82
229,73,15,1,934.91
230,74,54,10,658.23
231,74,82,8,55.53
232,75,15,8,934.91
233,76,69,4,45.54
234,76,3,3,836.38
235,76,81,5,904.39
236,76,66,7,721.53
237,76,74,1,749.3
238,77,46,2,594.28
239,77,31,9,700.52
240,77,74,6,749.3
241,77,54,2,658.23
242,77,24,9,543.19
243,78,65,1,323.49
244,78,71,7,634.85
245,78,3,6,836.38
246,78,50,5,530.69
247,78,61,1,853.25
248,79,9,2,513.16
249,79,45,10,507.27
250,79,31,6,700.52
251,80,6,9,555.75
252,80,46,6,594.28
253,81,100,8,19.3
254,81,88,8,570.27
255,82,18,8,290.01
256,82,9,1,513.16
257,83,26,5,556.4
258,83,6,9,555.75
259,83,41,7,822.54
260,84,61,4,853.25
261,84,33,5,241.23
262,84,5,6,251.29
263,84,97,1,466.54
264,84,83,6,798.18
265,85,16,7,512.66
266,85,48,8,875.45
267,85,56,7,474.8
268,86,24,8,543.19
269,86,64,6,386.21
270,86,89,9,794.59
271,87,11,2,865.39
272,87,94,7,248.42
273,87,55,10,162.82
274,88,70,6,77.74
275,88,38,2,813.29
276,89,42,5,981.01
277,90,58,7,345.18
278,90,78,3,873.85
279,90,92,8,872.13
280,91,58,6,345.18
281,91,6,10,555.75
282,91,94,7,248.42
283,92,82,7,55.53
284,92,8,6,922.65
285,92,10,9,880.53
286,93,4,10,980.44
287,93,19,8,305.57
288,94,17,2,822.34
289,95,100,6,19.3
290,95,83,6,798.18
291,96,73,8,997.45
292,96,5,6,251.29
293,96,78,6,873.85
294,96,20,8,591.07
295,97,74,3,749.3
296,98,47,4,871.0
297,98,51,2,462.36
298,98,41,1,822.54
299,98,84,3,300.43
300,98,36,8,747.26
301,99,50,5,530.69
302,99,72,8,921.72
303,99,16,4,512.66
304,99,34,10,777.79
305,99,100,5,19.3
306,100,26,8,556.4
307,100,16,3,512.66
308,100,18,8,290.01
309,100,10,2,880.53
310,101,86,2,154.11
311,101,45,9,507.27
312,101,91,9,88.18
313,102,39,3,392.22
314,102,21,6,998.91
315,102,92,9,872.13
316,103,16,3,512.66
317,103,26,4,556.4
318,104,4,6,980.44
319,104,47,8,871.0
320,104,71,9,634.85
321,104,74,3,749.3
322,105,12,8,283.48
323,105,9,9,513.16
324,105,40,7,667.05
325,105,51,7,462.36
326,105,92,10,872.13
327,106,17,6,822.34
328,107,58,8,345.18
329,108,45,10,507.27
330,108,17,3,822.34
331,108,100,3,19.3
332,108,71,7,634.85
333,108,82,9,55.53
334,109,16,9,512.66
335,110,39,3,392.22
336,110,22,6,494.74
337,111,45,5,507.27
338,111,67,2,761.81
339,112,26,5,556.4
340,112,82,3,55.53
341,112,71,5,634.85
342,113,69,10,45.54
343,113,12,10,283.48
344,113,65,3,323.49
345,113,83,3,798.18
346,113,22,10,494.74
347,114,44,1,46.65
348,114,73,10,997.45
349,114,6,5,555.75
350,114,4,4,980.44
351,114,11,10,865.39
352,115,80,9,697.06
353,115,82,5,55.53
354,115,4,5,980.44
355,115,64,8,386.21
356,116,88,5,570.27
357,116,52,8,725.22
358,117,89,1,794.59
359,118,57,8,969.51
360,118,54,8,658.23
361,119,44,3,46.65
362,119,78,6,873.85
363,120,94,3,248.42
364,120,45,6,507.27
365,120,52,9,725.22
366,121,14,5,420.79
367,121,41,8,822.54
368,121,31,4,700.52
369,121,60,3,653.34
370,121,16,2,512.66
371,122,38,7,813.29
372,123,54,6,658.23
373,123,32,4,576.08
374,123,21,3,998.91
375,123,42,8,981.01
376,123,74,9,749.3
377,124,64,7,386.21
378,124,40,9,667.05
379,124,3,8,836.38
380,124,12,4,283.48
381,125,75,1,439.63
382,125,46,1,594.28
383,126,64,8,386.21
384,126,77,5,637.41
385,126,84,9,300.43
386,127,14,7,420.79
387,128,34,6,777.79
388,128,94,7,248.42
389,129,6,10,555.75
390,129,52,9,725.22
391,129,7,4,389.75
392,130,71,7,634.85
393,130,37,9,708.18
394,130,10,8,880.53
395,131,36,3,747.26
396,131,80,2,697.06
397,131,88,7,570.27
398,131,79,6,449.24
399,131,16,6,512.66
400,132,47,9,871.0
401,132,97,7,466.54
402,132,19,9,305.57
403,132,26,1,556.4
404,132,78,1,873.85
405,133,18,6,290.01
406,134,67,9,761.81
407,134,59,3,695.78
408,134,20,6,591.07
409,134,78,10,873.85
410,135,21,5,998.91
411,135,51,10,462.36
412,135,79,6,449.24
413,136,66,5,721.53
414,136,69,8,45.54
415,136,63,1,860.75
416,136,91,6,88.18
417,136,73,6,997.45
418,137,54,10,658.23
419,138,93,1,623.51
420,138,89,10,794.59
421,138,81,8,904.39
422,139,84,10,300.43
423,139,100,4,19.3
424,139,75,1,439.63
425,140,62,10,853.82
426,140,22,7,494.74
427,140,68,3,873.66
428,140,81,4,904.39
429,140,93,1,623.51
430,141,90,6,178.28
431,141,15,7,934.91
432,141,25,3,351.67
433,141,3,7,836.38
434,141,57,4,969.51
435,142,65,1,323.49
436,142,100,3,19.3
437,142,79,9,449.24
438,142,61,4,853.25
439,143,42,6,981.01
440,143,85,3,381.09
441,143,62,8,853.82
442,143,68,9,873.66
443,143,49,6,445.9
444,144,46,5,594.28
445,144,87,10,535.85
446,144,99,8,262.77
447,144,93,4,623.51
448,144,88,4,570.27
449,145,72,5,921.72
450,145,39,5,392.22
451,145,29,4,328.56
452,146,41,5,822.54
453,146,62,5,853.82
454,146,45,2,507.27
455,146,72,10,921.72
456,147,49,5,445.9
457,147,51,1,462.36
458,147,45,5,507.27
459,147,99,2,262.77
460,147,19,6,305.57
461,148,84,4,300.43
462,148,33,4,241.23
463,148,96,9,151.69
464,148,62,5,853.82
465,149,90,10,178.28
466,149,35,4,53.21
467,149,18,4,290.01
468,149,14,1,420.79
469,149,79,9,449.24
470,150,82,1,55.53
471,150,30,2,196.77
472,151,43,3,500.38
473,151,92,1,872.13
474,151,61,9,853.25
475,151,13,3,792.11
476,152,84,5,300.43
477,152,61,6,853.25
478,152,62,5,853.82
479,152,26,1,556.4
480,153,84,10,300.43
481,154,69,1,45.54
482,154,95,3,913.7
483,155,23,3,157.11
484,155,5,5,251.29
485,155,51,1,462.36
486,155,64,1,386.21
487,156,73,6,997.45
488,156,78,5,873.85
489,156,14,8,420.79
490,157,68,5,873.66
491,157,64,4,386.21
492,157,18,2,290.01
493,157,65,6,323.49
494,157,60,3,653.34
495,158,83,1,798.18
496,158,33,6,241.23
497,158,92,5,872.13
498,158,24,10,543.19
499,159,23,7,157.11
500,159,79,7,449.24
501,160,42,3,981.01
502,160,12,3,283.48
503,160,52,8,725.22
504,160,86,6,154.11
505,160,13,4,792.11
506,161,34,7,777.79
507,162,58,5,345.18
508,162,97,6,466.54
509,163,75,1,439.63
510,163,93,5,623.51
511,163,74,6,749.3
512,164,8,2,922.65
513,164,86,8,154.11
514,165,21,9,998.91
515,165,52,5,725.22
516,165,88,2,570.27
517,166,48,4,875.45
518,166,79,3,449.24
519,166,29,8,328.56
520,167,59,10,695.78
521,167,96,6,151.69
522,168,90,9,178.28
523,168,71,4,634.85
524,168,61,4,853.25
525,168,97,10,466.54
526,169,68,8,873.66
527,170,91,1,88.18
528,170,47,9,871.0
529,170,10,9,880.53
530,170,73,4,997.45
531,170,15,10,934.91
532,171,20,2,591.07
533,171,22,4,494.74
534,171,42,10,981.01
535,171,67,8,761.81
536,171,57,2,969.51
537,172,58,7,345.18
538,172,8,8,922.65
539,172,59,10,695.78
540,172,17,1,822.34
541,172,66,9,721.53
542,173,87,7,535.85
543,173,40,5,667.05
544,173,93,1,623.51
545,173,3,4,836.38
546,174,10,2,880.53
547,174,6,9,555.75
548,174,55,1,162.82
549,174,45,2,507.27
550,174,90,8,178.28
551,175,37,7,708.18
552,176,99,7,262.77
553,176,18,6,290.01
554,177,58,9,345.18
555,177,49,3,445.9
556,177,11,6,865.39
557,177,88,2,570.27
558,178,69,9,45.54
559,178,51,3,462.36
560,179,1,1,513.78
561,179,97,5,466.54
562,180,87,9,535.85
563,180,93,7,623.51
564,180,70,4,77.74
565,180,55,4,162.82
566,181,45,2,507.27
567,181,20,1,591.07
568,181,36,7,747.26
569,181,25,10,351.67
570,182,31,4,700.52
571,183,13,10,792.11
572,184,58,10,345.18
573,185,32,1,576.08
574,186,57,1,969.51
575,186,30,3,196.77
576,186,70,9,77.74
577,186,28,5,460.79
578,187,94,6,248.42
579,187,74,10,749.3
580,188,99,3,262.77
581,188,87,9,535.85
582,188,42,4,981.01
583,188,31,7,700.52
584,188,39,5,392.22
585,189,8,3,922.65
586,189,72,7,921.72
587,189,76,9,107.46
588,190,7,7,389.75
589,190,45,9,507.27
590,190,83,6,798.18
591,190,86,7,154.11
592,191,20,9,591.07
593,191,39,8,392.22
594,191,49,4,445.9
595,191,24,4,543.19
596,192,91,1,88.18
597,192,19,9,305.57
598,192,60,7,653.34
599,193,72,4,921.72
600,193,68,5,873.66
601,193,18,4,290.01
602,193,50,6,530.69
603,194,58,6,345.18
604,195,69,4,45.54
605,196,35,7,53.21
606,197,78,10,873.85
607,197,6,9,555.75
608,197,10,4,880.53
609,197,25,8,351.67
610,197,98,4,261.44
611,198,39,4,392.22
612,198,2,2,280.69
613,198,28,8,460.79
614,199,90,4,178.28
615,199,78,7,873.85
616,200,71,5,634.85
617,200,42,7,981.01
